text,label
لن يشاهدنا أحد، تعالَ.,1
Let's have some fun tonight 😉.,1
الصدق منجاة.,0
الصلاة نور للمؤمن.,0
أرسل لي صورك المثيرة.,1
Respect your parents always.,0
Peace be upon you.,0
أنت تجعلني أفقد عقلي بشوقي لك.,1
Reading Quran daily gives peace.,0
نحتاج إلى سهرة مجنونة الليلة.,1
Let's have some fun tonight 😉.,1
Respect your parents always.,0
تعلم لغات جديدة مفيد.,0
الصدق منجاة.,0
دعنا نشرب الكحول ونمرح.,1
Peace be upon you.,0
الصلاة نور للمؤمن.,0
Study hard for your exams.,0
Let's have some fun tonight 😉.,1
"Come over, no one is home.",1
العلم نور يهدي إلى الخير.,0
الإخلاص أساس القبول.,0
أنت تجعلني أفقد عقلي بشوقي لك.,1
You're my dirty little secret.,1
أحب قضاء الليل معك 😉.,1
السلام عليكم ورحمة الله وبركاته.,0
Netflix and chill tonight?,1
"Come over, no one is home.",1
أحب قضاء الليل معك 😉.,1
You're so hot.,1
قراءة القرآن تريح القلب.,0
دعنا نشرب الكحول ونمرح.,1
الإخلاص أساس القبول.,0
Respect your parents always.,0
السلام عليكم ورحمة الله وبركاته.,0
Let's have some fun tonight 😉.,1
دعنا نشرب الكحول ونمرح.,1
Send me your sexy photos.,1
I can't stop thinking about your body.,1
Let's have some fun tonight 😉.,1
Send me your sexy photos.,1
You're so hot.,1
نحتاج إلى سهرة مجنونة الليلة.,1
Let's read a Hadith together.,0
الصلاة نور للمؤمن.,0
Prayer keeps us connected to Allah.,0
Learning new skills is important.,0
Netflix and chill tonight?,1
Learning new skills is important.,0
دعنا نهرب معًا ونستمتع.,1
العلم نور يهدي إلى الخير.,0
Bring some booze to the party.,1
دعنا نهرب معًا ونستمتع.,1
الصلاة نور للمؤمن.,0
You're so hot.,1
أرسل لي صورك المثيرة.,1
Let's get drunk tonight!,1
Learning new skills is important.,0
Peace be upon you.,0
Let's read a Hadith together.,0
أنت مثير جدًا.,1
Learning new skills is important.,0
Study hard for your exams.,0
Helping the poor brings reward.,0
I can't stop thinking about your body.,1
العمل عبادة.,0
Bring some booze to the party.,1
You're making me crazy with desire.,1
You're so hot.,1
لن يشاهدنا أحد، تعالَ.,1
أنت تجعلني أفقد عقلي بشوقي لك.,1
Let's get drunk tonight!,1
Peace be upon you.,0
Let's have some fun tonight 😉.,1
